VIDEO,TIME BIN #,ANIMAL,BODY-PART,MEASUREMENT,VALUE
0098_1,0,Animal_1,head,Movement (cm),0.0
0098_1,0,Animal_1,head,Velocity (cm/s),0.0
0098_1,1,Animal_1,head,Movement (cm),0.0
0098_1,1,Animal_1,head,Velocity (cm/s),0.0
0098_1,2,Animal_1,head,Movement (cm),0.0
0098_1,2,Animal_1,head,Velocity (cm/s),0.0
0098_1,3,Animal_1,head,Movement (cm),0.0
0098_1,3,Animal_1,head,Velocity (cm/s),0.0
0098_1,4,Animal_1,head,Movement (cm),0.0
0098_1,4,Animal_1,head,Velocity (cm/s),0.0
0098_1,5,Animal_1,head,Movement (cm),0.0
0098_1,5,Animal_1,head,Velocity (cm/s),0.0
0098_1,6,Animal_1,head,Movement (cm),0.0
0098_1,6,Animal_1,head,Velocity (cm/s),0.0
0098_1,7,Animal_1,head,Movement (cm),0.0
0098_1,7,Animal_1,head,Velocity (cm/s),0.0
0098_1,8,Animal_1,head,Movement (cm),28.8169
0098_1,8,Animal_1,head,Velocity (cm/s),28.8169
0098_1,9,Animal_1,head,Movement (cm),6.0251
0098_1,9,Animal_1,head,Velocity (cm/s),6.0251
0098_1,10,Animal_1,head,Movement (cm),0.6447
0098_1,10,Animal_1,head,Velocity (cm/s),0.6447
0098_1,11,Animal_1,head,Movement (cm),0.8966
0098_1,11,Animal_1,head,Velocity (cm/s),0.8966
0098_1,12,Animal_1,head,Movement (cm),0.7488
0098_1,12,Animal_1,head,Velocity (cm/s),0.7488
0098_1,13,Animal_1,head,Movement (cm),0.6113
0098_1,13,Animal_1,head,Velocity (cm/s),0.6113
0098_1,14,Animal_1,head,Movement (cm),0.6788
0098_1,14,Animal_1,head,Velocity (cm/s),0.6788
0098_1,15,Animal_1,head,Movement (cm),0.6683
0098_1,15,Animal_1,head,Velocity (cm/s),0.6683
0098_1,16,Animal_1,head,Movement (cm),0.3857
0098_1,16,Animal_1,head,Velocity (cm/s),0.799
0098_2,0,Animal_1,head,Movement (cm),0.0
0098_2,0,Animal_1,head,Velocity (cm/s),0.0
0098_2,1,Animal_1,head,Movement (cm),0.0
0098_2,1,Animal_1,head,Velocity (cm/s),0.0
0098_2,2,Animal_1,head,Movement (cm),0.0
0098_2,2,Animal_1,head,Velocity (cm/s),0.0
0098_2,3,Animal_1,head,Movement (cm),0.0
0098_2,3,Animal_1,head,Velocity (cm/s),0.0
0098_2,4,Animal_1,head,Movement (cm),0.0
0098_2,4,Animal_1,head,Velocity (cm/s),0.0
0098_2,5,Animal_1,head,Movement (cm),0.0
0098_2,5,Animal_1,head,Velocity (cm/s),0.0
0098_2,6,Animal_1,head,Movement (cm),25.1817
0098_2,6,Animal_1,head,Velocity (cm/s),25.1817
0098_2,7,Animal_1,head,Movement (cm),2.8708
0098_2,7,Animal_1,head,Velocity (cm/s),2.8708
0098_2,8,Animal_1,head,Movement (cm),0.6312
0098_2,8,Animal_1,head,Velocity (cm/s),0.6312
0098_2,9,Animal_1,head,Movement (cm),0.761
0098_2,9,Animal_1,head,Velocity (cm/s),0.761
0098_2,10,Animal_1,head,Movement (cm),0.494
0098_2,10,Animal_1,head,Velocity (cm/s),0.494
0098_2,11,Animal_1,head,Movement (cm),0.5335
0098_2,11,Animal_1,head,Velocity (cm/s),0.5335
0098_2,12,Animal_1,head,Movement (cm),0.638
0098_2,12,Animal_1,head,Velocity (cm/s),0.638
0098_2,13,Animal_1,head,Movement (cm),0.7547
0098_2,13,Animal_1,head,Velocity (cm/s),0.7547
0098_2,14,Animal_1,head,Movement (cm),0.7245
0098_2,14,Animal_1,head,Velocity (cm/s),0.7245
0098_2,15,Animal_1,head,Movement (cm),0.1678
0098_2,15,Animal_1,head,Velocity (cm/s),0.5406
0098_3,0,Animal_1,head,Movement (cm),0.0
0098_3,0,Animal_1,head,Velocity (cm/s),0.0
0098_3,1,Animal_1,head,Movement (cm),0.0
0098_3,1,Animal_1,head,Velocity (cm/s),0.0
0098_3,2,Animal_1,head,Movement (cm),0.0
0098_3,2,Animal_1,head,Velocity (cm/s),0.0
0098_3,3,Animal_1,head,Movement (cm),0.0
0098_3,3,Animal_1,head,Velocity (cm/s),0.0
0098_3,4,Animal_1,head,Movement (cm),0.0
0098_3,4,Animal_1,head,Velocity (cm/s),0.0
0098_3,5,Animal_1,head,Movement (cm),0.0
0098_3,5,Animal_1,head,Velocity (cm/s),0.0
0098_3,6,Animal_1,head,Movement (cm),0.0
0098_3,6,Animal_1,head,Velocity (cm/s),0.0
0098_3,7,Animal_1,head,Movement (cm),0.0
0098_3,7,Animal_1,head,Velocity (cm/s),0.0
0098_3,8,Animal_1,head,Movement (cm),0.0
0098_3,8,Animal_1,head,Velocity (cm/s),0.0
0098_3,9,Animal_1,head,Movement (cm),0.0
0098_3,9,Animal_1,head,Velocity (cm/s),0.0
0098_3,10,Animal_1,head,Movement (cm),0.0
0098_3,10,Animal_1,head,Velocity (cm/s),0.0
0098_3,11,Animal_1,head,Movement (cm),0.0
0098_3,11,Animal_1,head,Velocity (cm/s),0.0
0098_3,12,Animal_1,head,Movement (cm),0.0
0098_3,12,Animal_1,head,Velocity (cm/s),0.0
0098_3,13,Animal_1,head,Movement (cm),0.0
0098_3,13,Animal_1,head,Velocity (cm/s),0.0
0098_3,14,Animal_1,head,Movement (cm),0.0
0098_3,14,Animal_1,head,Velocity (cm/s),0.0
0098_3,15,Animal_1,head,Movement (cm),0.0
0098_3,15,Animal_1,head,Velocity (cm/s),0.0
0098_3,16,Animal_1,head,Movement (cm),0.0
0098_3,16,Animal_1,head,Velocity (cm/s),0.0
